Unnamed: 0,m/z,Composition,Glycan Structure,Name,Glycoprofiles
0,384,Hex(1)HexNAc(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
",384,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P6TA-FS', 'P6TA-FG', 'P5TA-AS', 'P8H', 'P10H']"
1,425,HexNAc(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
",425-1,"['P1TI', 'P2TS', 'P6TA-FS', 'P5TA-AS', 'P10H']"
2,425,HexNAc(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:a-dgal-HEX-x:x
4s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
",425-2,"['P1TS', 'P6TA-FS', 'P5TA-AS', 'P8H', 'P10H']"
3,513,NeuAc(1)HexNAc(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
4s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(6+2)3d
3:3d(5+1)4n
",513,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P6TA-FS', 'P6TA-FG', 'P5TA-AS', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
4,530,Hex(1)HexNAc(1)dHex(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
",530,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P5TA-AG', 'P7TA-AS', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
5,587,Hex(1)HexNAc(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
",587-1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P7TA-AS', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
6,587,Hex(1)HexNAc(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dglc-HEX-x:x
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
",587-2,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
7,587,Hex(1)HexNAc(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
",587-3,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P5TA-AS', 'P5TA-AG', 'P8H', 'P10H']"
8,587,Hex(1)HexNAc(2),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(3+1)5d
",587-4,"['P1TI', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P5TA-AS', 'P5TA-AG', 'P8H']"
9,628,HexNAc(3),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dgal-HEX-x:x
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n
",628,"['P1TS', 'P1TI', 'P2TS', 'P6TA-FS', 'P8H']"
10,667,Hex(1)HexNAc(2)Sul(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(6+1)6n
",667-1,"['P1TS', 'P1TI', 'P2TS', 'P4TS']"
11,667,Hex(1)HexNAc(2)Sul(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dgal-HEX-x:x
6s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:3o(6+1)6n
",667-2,"['P1TS', 'P4TS']"
12,675,NeuAc(2)Hex(1)HexNAc(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+2)4d
4:4d(5+1)5n
",675-1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
13,675,NeuAc(2)Hex(1)HexNAc(1),"RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
",675-2,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
