,"L1,1","L1,2","L1,3","L1,4","L1,7","L1,14","L1,28","L1,42","L2,1","L2,2","L2,3","L2,4","L2,7","L2,14","L2,28","L2,42","L3,1","L3,2","L3,3","L3,4","L3,7","L3,14","L3,28","L3,42","L4,1","L4,2","L4,3","L4,4","L4,7","L4,14","L4,28","L4,42","L5,1","L5,2","L5,3","L5,4","L5,7","L5,14","L5,28","L5,42","L6,2","L6,3","L6,4","L6,7","L6,14","L6,28","L6,42"
L26664,0.20760065088446802,0.12815572030438616,0.08662232076866222,0.10676264214856036,0.0778623890415897,0.1002010205659502,0.07556245151280062,0.08478667849049168,0.2570621468926554,0.1901167383481085,0.17719597799279074,0.16589788452362014,0.1683317366908444,0.12714285714285714,0.061972510248372324,0.09943714821763602,0.2730214036834246,0.17942868478476492,0.13881787899914788,0.15375619535557164,0.1699559302548381,0.17899185028674916,0.1345964912280702,0.10181488203266788,0.4459437751004016,0.2342973999415717,0.15785218016291327,0.10719013446666202,0.11210877373011802,0.10912040374909876,0.1390425115915312,0.153415061295972,0.29238557154594363,0.17363017786797186,0.11855031784033684,0.13624413145539907,0.1484992101105845,0.14162217137045513,0.13461232287852254,0.10415457334770713,0.12117511851745437,0.13481001260579867,0.1227463413072021,0.12112996800954293,0.1582372629230197,0.14631531624995678,0.1266263514751695
L6,1.267072594614456,1.3629772363565107,1.5113377679231337,1.5318170820227437,1.5547244626684091,1.5809803618370186,1.5003878975950349,1.5186717903241698,1.905450315719508,1.9526024752040727,1.9939290457218743,2.0186098298075392,2.039756397974545,1.9918181818181817,2.0067518688208343,1.9812382739212009,1.925398208063713,1.9255769357931627,1.9921760012394452,2.0350281227376508,2.0968257009644247,2.0866284334440084,2.0242807017543862,1.9284936479128856,1.3768674698795182,1.4665080756228872,1.573850023957834,1.7225318748693652,1.7219453199442938,1.6808579668348955,1.549466510250824,1.5750145942790426,1.2495825713604198,1.4003521547093232,1.503178403368282,1.5750234741784035,1.5778722013400883,1.5448766844647852,1.4761980576341347,1.4307985736794095,1.6338528946990376,1.6641815235008104,1.718448778300829,1.7058504581684109,1.6472046609644229,1.6639001279524157,1.5980392156862746
L2,0.2670725946144559,0.3629772363565107,0.5113377679231338,0.5318170820227438,0.5547244626684089,0.5809803618370187,0.5003878975950349,0.5186717903241699,0.9054503157195082,0.9526024752040728,0.9939290457218743,1.0186098298075394,1.039756397974545,0.9918181818181818,1.0067518688208343,0.9812382739212008,0.9253982080637132,0.9255769357931628,0.9921760012394454,1.0350281227376508,1.0968257009644249,1.0866284334440084,1.024280701754386,0.9284936479128856,0.3768674698795181,0.4665080756228872,0.5738500239578342,0.7225318748693653,0.7219453199442938,0.6808579668348954,0.5494665102508239,0.5750145942790427,0.2495825713604198,0.4003521547093232,0.503178403368282,0.5750234741784037,0.5778722013400882,0.5448766844647851,0.4761980576341347,0.4307985736794096,0.6338528946990375,0.6641815235008104,0.7184487783008294,0.7058504581684107,0.647204660964423,0.6639001279524155,0.5980392156862745
L0,0.8424492152642906,0.8759267121721807,0.8459423503325942,0.8550084684248729,0.8508088135898707,0.8126179062934901,0.8539436255495216,0.847817518967386,0.7044699235626454,0.4718686913016765,0.4101688484158604,0.3865118498488945,0.4957574928151088,0.41974025974025975,0.3619483964311551,0.5069418386491558,0.8196864111498258,0.4960655954506381,0.4577426601595786,0.4309739934287464,0.5426965574503417,0.6199818895261092,0.663578947368421,0.7475499092558984,0.5664792503346721,0.7002629272567923,0.8072891710589363,0.7189089388977914,0.7708715091988566,0.8067772170151406,0.8615719792190379,0.8396964389959136,0.7935914765047308,0.8631670048943536,0.8700569635928341,0.8166666666666667,0.7987688620144904,0.846236969234681,0.8685718834580479,0.9027282527572768,0.8443470765694584,0.8460651899873942,0.800941492938803,0.8431925391747547,0.856390231808603,0.8723242383373102,0.8492761590617556
L26665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
L46,0.03921054012912708,0.02736862732290408,0.045617147080561714,0.059883861601742076,0.027441085026810256,0.052574609556208435,0.022291181794672876,0.025815351266134597,0.08715520106347624,0.07873255507767928,0.08129387213052551,0.0771433115953555,0.0820446147529766,0.03051948051948052,0.01133349409211478,0.018386491557223262,0.09158785465405676,0.053230179197249226,0.05631729800914091,0.08208498078743666,0.0950373634795938,0.08753395713854513,0.05347368421052632,0.029038112522686024,0.07630522088353414,0.044405492258252986,0.0340201245807379,0.04476416080261966,0.04647071758410907,0.025234318673395817,0.02217753198145355,0.021949795680093403,0.04078874135326389,0.036558433806852086,0.068397589366796,0.08408450704225352,0.08568938279675327,0.05669972031528096,0.04362362681101736,0.02379965171241397,0.04995690274385864,0.062056546011165135,0.0608447817593749,0.035514829474597415,0.032942853601090866,0.0287028391603555,0.011636430273043796
L47,0.2499081413049184,0.3489010091773082,0.5018477457501848,0.5156665860150013,0.5264723110890821,0.5584969846915108,0.4728213085078872,0.4942851512464282,0.8434695912263208,0.9101202492758712,0.939954467842914,0.9580085891522188,0.9562063774462845,0.9215584415584416,0.9659995177236556,0.9230769230769232,0.850609756097561,0.9081531442174172,0.951274304748625,0.9686473241632788,0.9638500351280578,0.9239360096589194,0.9237894736842104,0.8684210526315791,0.3460776439089692,0.43725220149409455,0.5574688548155247,0.695708214310597,0.6737887561386792,0.6083633741888969,0.4838835819227976,0.500758902510216,0.22880390130131725,0.3882356452190522,0.489143894988855,0.5528169014084507,0.5472571770986545,0.4994279176201373,0.43894284349625856,0.3936478978356414,0.6135253555523632,0.6360886007563479,0.6813334614276108,0.6618500243995011,0.5942729639271105,0.6210879413493793,0.5579989004947774
L30,0.07527163928402708,0.07207942780626407,0.08357723577235772,0.10401040406484394,0.08538728427882666,0.115695067264574,0.08011378329454358,0.08562419942851512,0.21045197740112995,0.20064952163609234,0.21779548472775564,0.2290440591697153,0.2415491993978377,0.15454545454545454,0.08753315649867374,0.13658536585365855,0.20451717272274764,0.19870396085432784,0.16941668603300022,0.2376788995934733,0.3095101232675481,0.3379112586779354,0.2262456140350877,0.14283121597096188,0.14779116465863454,0.12883435582822084,0.08436152371825588,0.13073921828189228,0.14527596569669424,0.13907714491708725,0.12356851572537847,0.1342673671920607,0.08255810871697013,0.08526322072340932,0.13217204656154544,0.1763380281690141,0.18941003431933326,0.17003559623696926,0.14002547365069254,0.11311053984575835,0.11805056744720585,0.15209796506392942,0.1350113683671182,0.11833758065390665,0.13858931449113673,0.11571048172355362,0.11517317207256735
L28815,0.19180095533042885,0.2908978085502466,0.427760532150776,0.42780667795789984,0.4693371783895823,0.4652852945724447,0.4202741143004913,0.4330475908956548,0.6949983383183782,0.7519529535679803,0.7761335609941188,0.7895657706378241,0.7982071985767073,0.8372727272727273,0.9192187123221606,0.8446529080675422,0.7208810353409657,0.7268729749388348,0.8227593152064451,0.7973492231441778,0.7873155776968768,0.7487171747660729,0.7980350877192982,0.7856624319419238,0.22907630522088354,0.3376737197946663,0.4894885002395784,0.591792656587473,0.5766693542475995,0.5417808219178082,0.4258979945254455,0.4407472270869819,0.1670244626434497,0.3150889339859138,0.37100635680673655,0.3986854460093897,0.38846216702075503,0.3748410882278159,0.3361725839834421,0.31768803383365124,0.5158023272518316,0.5120835584368809,0.5834374099337112,0.5875128775145041,0.5086153464732862,0.5481896462288619,0.4828660436137072
L44,0.6677339772190436,0.7357523106567817,0.7167775314116778,0.7062061456569079,0.6536745820754292,0.6507499613421989,0.6704939229376777,0.6531185338456991,0.02193419740777667,0.031861669446151146,0.04335040789224056,0.044059169715285514,0.04762556452716573,0.07415584415584416,0.05305039787798409,0.0551594746716698,0.033474365355898456,0.01910996495404351,0.031373460376481525,0.03330177646600212,0.05269208660662962,0.04814367642619982,0.044491228070175436,0.036116152450090734,0.3245515394912985,0.5286089896081132,0.5148838045040728,0.4521006061450568,0.4602726673019131,0.5070295602018745,0.5431540137422489,0.5078225335668418,0.563541915136095,0.6327444192431658,0.6488896227193924,0.5923943661971831,0.552704690308874,0.5513602847698957,0.6028498646712307,0.650800232191724,0.4767633960637839,0.4629569602016928,0.4337272232363019,0.4244699886135661,0.4014503532911863,0.3888715980219248,0.4605094374198278
